Student No.,Midterm 1,Midterm 2,Midterm Average,Assignment 1,Assignment 2,Assignment 3,Assignment 4,Assignment 5,Final Exam,Bonus (Class Part),Total
41409095,7,7.5,7.25,10,8.5,9.9,10.2,,,,45.85
41647108,17.5,20,18.75,10,9,9,10.2,,,,56.95
41709106,15,14.5,14.75,10,6.5,10,10.2,,,,51.45
41772112,15.5,12,13.75,10,8.25,8.75,8.2,,,,48.95
42319103,17.5,16.5,17,10,9.75,9.8,10.2,,,,56.75
42357103,16.5,12,14.25,10,6.5,10,10.2,,,,50.95
42531103,18.5,15,16.75,10,9.75,9.7,10.2,,,,56.4
42698100,14,10,12,10,9,9.1,10.2,,,,50.3
42812107,19.5,18.5,19,10,9.25,10.3,11.2,,,,59.75
42888107,18,12,15,10,8.25,9,10.2,,,,52.45
43103100,18.5,14,16.25,10,9.5,9.8,10.2,,,,55.75
43224104,19.5,19.5,19.5,10,9,8.8,10.2,,,,57.5
43380104,18,14.5,16.25,10,9.75,9.7,10.2,,,,55.9
43463108,18.5,14.5,16.5,10,8,8.7,10,,,,53.2
43509108,19,13,16,10,9.25,10.3,10.2,,,,55.75
43686104,15,5.5,10.25,10,7.5,8.1,10,,,,45.85
43808104,17.5,17.5,17.5,10,8.5,8.8,10,,,,54.8
43941103,19.5,15.5,17.5,10,9,8.9,10.2,,,,55.6
44396109,16,16.5,16.25,10,9,9.1,10.2,,,,54.55
45649100,18.5,19,18.75,10,9.25,10.3,11.2,,,,59.5
45866100,11,8.5,9.75,10,9.5,7.5,9,,,,45.75
46179073,12,6,9,10,9.75,7.2,10,,,,45.95
46282109,19.5,20,19.75,10,9,8.9,10.2,,,,57.85
46724100,17.5,13,15.25,10,9.75,10.3,10.2,,,,55.5
46978102,16.5,14.5,15.5,10,8.5,7.7,10,,,,51.7
47098108,17,13,15,10,9,10.3,10.2,,,,54.5
47437116,17,16,16.5,9,8.25,8.1,0,,,,41.85
47573100,15,4,9.5,10,7.15,9.1,10,,,,45.75
47955109,18.5,19,18.75,10,9,10.3,10.2,,,,58.25
48017107,18,17.5,17.75,10,9,7.7,10.2,,,,54.65
48309116,19,11.5,15.25,10,8.5,9.35,9,,,,52.1
49012107,15.5,11.5,13.5,10,8.25,9.9,10.2,,,,51.85
49084106,18.5,18,18.25,10,9,9,10.2,,,,56.45
49158108,18.5,13.5,16,10,8.5,8.8,10,,,,53.3
49542103,12,7.5,9.75,10,8.75,8.9,10,,,,47.4
50014109,10.5,14.5,12.5,10,7.5,9,10,,,,49
50026103,17.5,13,15.25,10,8,10.3,10.2,,,,53.75
50156108,14.5,9,11.75,10,7.75,9.5,8,,,,47
